IMG_1681,[0, 53, 212, 231, 247],[(236, 237, 233), (168, 165, 168), (122, 112, 112), (31, 22, 27), (76, 65, 67)]
IMG_1551,[180, 225, 231, 232, 238],[(107, 91, 102), (70, 52, 59), (222, 221, 225), (31, 18, 25), (159, 141, 151)]
IMG_1101,[12, 13, 22, 34, 77],[(123, 69, 45), (196, 170, 141), (30, 28, 20), (50, 59, 48), (152, 95, 72)]
IMG_1697,[0, 24, 106, 133, 143],[(177, 161, 140), (102, 95, 95), (31, 37, 38), (7, 12, 15), (59, 61, 60)]
IMG_1228,[0, 21, 25, 157, 161],[(230, 232, 237), (107, 86, 64), (162, 134, 91), (183, 184, 188), (28, 21, 21)]
IMG_1678,[14, 14, 19, 21, 27],[(201, 188, 165), (53, 33, 23), (106, 70, 51), (160, 134, 108), (132, 103, 78)]
IMG_1379,[0, 11, 13, 28, 35],[(155, 148, 133), (219, 218, 213), (78, 61, 55), (152, 73, 37), (27, 24, 24)]
IMG_1345,[233, 233, 240, 243, 248],[(26, 23, 24), (74, 63, 66), (125, 105, 108), (229, 227, 228), (165, 155, 160)]
IMG_1351,[18, 19, 138, 159, 184],[(176, 164, 154), (223, 222, 225), (104, 189, 219), (29, 30, 33), (106, 97, 90)]
IMG_1290,[5, 11, 14, 15, 144],[(32, 15, 9), (54, 35, 24), (180, 194, 203), (80, 65, 57), (11, 4, 3)]
IMG_1386,[7, 10, 238, 248, 249],[(146, 131, 133), (34, 29, 31), (103, 88, 85), (72, 59, 55), (121, 108, 110)]
